Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Publication Stage,Access Type,Source,EID
"Sheridan J.T., Kelly J.V., Gleeson M.R., Close C.E.","7201682655;55462305100;7102850433;9246335300;","Modeling photopolymers for holographic data storage applications",2006,"Proceedings of SPIE - The International Society for Optical Engineering","6343 II",, 634332,"","",,1,"10.1117/12.707941","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750012011&doi=10.1117%2f12.707941&partnerID=40&md5=c0325fa65d3809219f2390ae04280fb7","The Nonlocal Polymerization Driven Diffusion model, NPDD, is can be used to describe holographic grating formation in Acrylamide-based photopolymer. The free radical chain polymerization process results in polymer being generated nonlocal both in space and time to the point of chain initiation. Temporal nonlocality can be used to describepost exposure dark effects. Nonlinear response and the effects of dye bleaching have been examined. Both primary and bimolecular chain termination mechanisms have been included and examined. Recently 3-D, and inhibition effects have also been included. In this paper we review of our recent work. It is shown that temporal effects become most notable for short exposres and the inclusion of the nonlocal temporal response function is shown to be necessary to accurately describe the process. In particular, brief post exposure self-amplification of the refractive index modulation is noted. This is attributed to continued chain growth for a brief period after exposure. Following this a slight decay in the grating amplitude also occurs. This we believe is due to the continued diffusion of monomer after exposure. Since the sinusoidal recording pattern generates a monomer concentration gradient during the recording process monomer diffusion occurs both during and after exposure. The evolution of the refractive index modulation is determined by the respective refractive index values of the recording material components. From independent measurements it is noted that the refractive index value of the monomer is slightly less than that of the background material. Therefore as monomer diffuses back into the dark regions, a reduction in overall refractive index modulation occurs. Volume changes occurring within the material also affect the nature of grating evolution. To model these effects we employ a free volume concept. Due to the fact that the covalent single carbon bond in the polymer is up to 50% shorter than the van der Waals bond in the liquid monomer state, free volume is created when monomer is converted to polymer. For each bond conversion we assume a hole is generated which then collapses at some characteristic rate constant. The Lorentz-Lorenz relation is used to determine the overall evolution refractive index modulation and the corresponding diffraction efficiency of the resulting grating is calculated using Rigorous Coupled Wave Analysis (RCWA). The Lorentz-Lorenz relation is used to determine the overall evolution refractive index modulation and the corresponding diffraction efficiency of the resulting grating is calculated using Rigorous Coupled Wave Analysis (RCWA). Inhibition is typically observed at the start of grating growth during which the formation of polymer chains is suppressed. In this paper experiments are reported, carried out with the specific aim of understanding of these processes. The results support our description of the inhibition process in an PVA/Acrylamide based photopolymer and can be used to predict behaviour under certain conditions.",Conference Paper,"Final",,Scopus,2-s2.0-33750012011
"Ward J.E., Kelly D.P., Hennelly B.M., Patten R.F., Sheridan J.T.","10139682700;7403137561;6603022875;8114871500;7201682655;","Speckle photography; linear canonical transform metrology systems in mixed domains with apertures",2006,"Proceedings of SPIE - The International Society for Optical Engineering","6292",, 62920W,"","",,,"10.1117/12.680761","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749660960&doi=10.1117%2f12.680761&partnerID=40&md5=8817ca41ede683f1d28378cfcad6178b","Complex paraxial optical systems, consisting of multiple lenses and sections of free space propagation, can be described using the Linear Canonical Transform (LCT). Indeed it can be shown that many well know optical transforms such as the Optical Fourier Transform (OFT), Optical Fractional Fourier Transform (OFRT), the effect of a lens or Chirp Modulation Transform (CMT) are all subsets of the more general LCT. Using the ABCD Collins matrix formula it is possible to represent these integral transforms in a simpler form, which facilitates system analysis and design. Apertures are necessary in speckle based metrology systems to control the size of the speckle. We examine their effect on LCT systems and show using the ""generalized Yamaguchi correlation factor"" that a useful interpretation of the system's behavior, using the LCT, may still be obtained. Furthermore, we experimentally demonstrate our ability to determine simultaneous tilt and translation motion by capturing two, sequential, mixed domain images with a single camera. We also show how localized deformations in an object may be measured using this system.",Conference Paper,"Final",,Scopus,2-s2.0-33749660960
"Kelly J.V., Gleeson M.R., O'Neill F.T., Sheridan J.T., Gallego S., Neipp C.","55462305100;7102850433;35611429400;7201682655;7006130498;7003591770;","Examination of the temporal and kinetic effects in acrylamide based photopolymer using the nonlocal polymer driven diffusion model (NPDD)",2006,"Proceedings of SPIE - The International Society for Optical Engineering","6252",, 625207,"","",,,"10.1117/12.676506","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749563576&doi=10.1117%2f12.676506&partnerID=40&md5=2ac98ab92b608051834ca922c8cb6f59","The Nonlocal Polymer Driven Diffusion (NPDD) model successfully predicts high spatial frequency cut-off and higher harmonic generation, experimentally evident in holographic gratings recorded in free radical chain photopolymer materials. In this paper the NPDD model is extended to include a nonlocal material temporal response. Previously it was assumed that following a brief transient period, the spatial effect of chain growth was instantaneous. However, where the use of short exposures is necessary, as in optical data storage, temporal effects become more significant. Assuming that the effect of past chain initiations will have less effect on monomer concentration at a later point in time than current initiations, a normalized exponential function is proposed to describe the process. The extended diffusion model is then solved using a Finite-Difference Time-Domain technique to predict the evolution of the monomer and polymer concentrations during and after grating recording. The Lorentz-Lorenz relation is used to determine the corresponding refractive index modulation and The Rigorous Coupled Wave Method applied to determine and/or process diffraction efficiencies. A fitting technique is then used which first solves the diffusion model as described and determines a set of parameters which give best fits to the experimental data. Results show that the inclusion of the nonlocal temporal response is necessary to accurately describe grating evolution for short exposures i.e. continued polymer chain growth for some period after recording resulting in an increase in the refractive index modulation. Monomer diffusion is also shown to influence refractive index modulation post-exposure. Monomer diffusion rates determined to be of the order of D ∼ 10-11 cm2/s and the time constant of the nonlocal material temporal response function being of the order of τ n ∼ 10-2s.",Conference Paper,"Final",,Scopus,2-s2.0-33749563576
"Gopinathan U., Monaghan D.S., Shortt A.E., Naughton T.J., Sheridan J.T., Javidi B.","12767349700;9246396700;6603398120;7004850303;7201682655;7101754586;","Capture, encryption, compression, and display of digital holograms of three-dimensional objects",2006,"Proceedings of SPIE - The International Society for Optical Engineering","6252",, 62521F,"","",,1,"10.1117/12.677154","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749539141&doi=10.1117%2f12.677154&partnerID=40&md5=beb27fed5f638bf2e9cea54a7683b3d2","Digital holography can be used to capture the whole Fresnel field from a reflective or transmissive object. Applications include imaging and display of three-dimensional (3D) objects, and encryption and pattern recognition of two-dimensional (2D) and 3D objects. Often, these optical systems employ discrete spatial light modulators (SLMs) such as liquid-crystal displays. In the 2D case, SLMs can encode the inputs and keys during encryption and decryption. For 3D processing, the SLM can be used as part of an optical reconstruction technique for 3D objects, and can also represent the key during encryption and decryption. However, discrete SLMs can represent only discrete levels of data necessitating a quantisation of continuous valued analog information. To date, many such optical systems have been proposed in the literature, yet there has been relatively little experimental evaluation of the practical performance of discrete SLMs in these systems. In this paper, we characterise conventional phase-modulating liquid-crystal devices and examine their limitations (in terms of phase quantisation, alignment tolerances, and nonlinear response) for the encryption of 2D and 3D data. Finally, we highlight the practical importance of a highly controlled discretisation (optimal quantisation) for compression of digital holograms.",Conference Paper,"Final",,Scopus,2-s2.0-33749539141
"Gallego S., Ortuño M., Neipp C., Márquez A., Kelly J.V., Sheridan J.T., Beléndez A., Pascual I.","7006130498;7005310152;7003591770;35571345700;55462305100;7201682655;7005361571;35569655800;","3-D behaviour of photopolymers as holographic recording material",2006,"Proceedings of SPIE - The International Society for Optical Engineering","6252",, 62520B,"","",,1,"10.1117/12.676525","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749561236&doi=10.1117%2f12.676525&partnerID=40&md5=636bb340c5fea24ce685590bdeee335b","Research dealing with models to predict and understand the behaviour of photopolymers have generated many interesting studies considering a 2-dimensional geometry. These models suppose that the photopolymer layer is homogeneous in depth. Using this approximation good results can be obtained if the thickness of photopolymers is less than 200 μm. However, it is well known that Lambert-Beer's law predicts an exponential decay of the light inside the material. In recent years intensive efforts have been made to develop new holographic memories based on photopolymers. For this application the thickness of the layer is increased, usually to more than 500 μm, and Lambert-Beer's law plays a significant role in the recording step. The attenuation of the index profile inside these materials has been measured, showing that it is an important phenomenon. This attenuation limits the maximum effective optical thickness of the grating and shows that the 2-D models can not be applied in these cases. For this reason in this work a 3-dimensional model is presented to analyze the real behaviour of the photopolymers and study the variations in the index profile in depth. In this work we examine the predictions of the model in the case of a general dependence of the polymerisation rate with respect to the intensity pattern, and the effects of varying the exposure intensity are also compared in 3-D cases. Finally, the limitation of the data storage capacity of the materials due to the Lambert-Beer law is evaluated.",Conference Paper,"Final",,Scopus,2-s2.0-33749561236
"Hennelly B.M., Kelly D.P., Ward J.E., Patten R., Gopinathan U., O'Neill F.T., Sheridan J.T.","6603022875;7403137561;10139682700;8114871500;12767349700;35611429400;7201682655;","Metrology and the linear canonical transform",2006,"Journal of Modern Optics","53","15",,"2167","2186",,18,"10.1080/09500340600810473","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749010056&doi=10.1080%2f09500340600810473&partnerID=40&md5=51327d822522185dc031dea5fca3b67e","It is shown experimentally that both surface tilt and in-plane translation motion can be independently estimated using the speckle photographic correlation technique by capturing consecutive images in two linear canonical transform domains (using two different quadratic phase systems). A geometric interpretation, based on use of the Wigner distribution function is presented to describe the method and a simple matrix approach, based on the ABCD matrix, is used to quantify it. It is shown that the sensitivity and dynamic range of measurement of both tilt and translation are both variable and depend on the parameters of the ABCD matrix.",Article,"Final",,Scopus,2-s2.0-33749010056
"Gleeson M.R., Close C.E., Kelly J.V., O'Neill F.T., Sheridan J.T.","7102850433;9246335300;55462305100;35611429400;7201682655;","Photochemical effects during fabrication of holographic gratings in acrylamide based photopolymer materials",2006,"Proceedings of SPIE - The International Society for Optical Engineering","6187",, 61871D,"","",,,"10.1117/12.663408","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746848526&doi=10.1117%2f12.663408&partnerID=40&md5=dbe169a885eb5ffbb692a27d2a91c92b","In recent years there has been an increasing interest in holography and its applications. One such application is data storage. Optimising the holographic recording materials is therefore of critical importance in the capacity and clarity of the information stored. Photopolymer materials are practical materials for use as holographic recording media, as they are inexpensive and self-processing. Understanding the photochemical mechanisms present during recording in these materials is crucial in enabling further developments. Obtaining critical material parameters allows improvements of the performance of these materials, such as its spatial frequency response or its environmental stability. This also allows a better understanding of the photochemical processes that occur during the formation of the holographic grating. Our current work, which is presented in this paper deals with two of the processes that occur during holographic grating formation. The first of these is the photochemistry involved in the absorption of the light by the photosensitive dye. We monitor the power of the transmitted beams, which are used for recording the gratings. The second process we concentrate on is the inhibition effect present during grating growth. It has been noted in the literature that there is a slight delay at the start of grating growth. The reason for this delay is due to an inhibition process, which is present to some extent in all photopolymer recordings. The work presented here explains why it occurs. A theoretical model is developed to predict the behaviour of the temporal evolution of the grating. This model has been improved to account for the absorption effects of the material due to the photosensitive dye and the inhibition period, which results in a reduction in the rate of polymerisation.",Conference Paper,"Final",,Scopus,2-s2.0-33746848526
"Healy J.J., Sheridan J.T.","14055830200;7201682655;","Applications of fast algorithms for the numerical calculation of optical signal transforms",2006,"Proceedings of SPIE - The International Society for Optical Engineering","6187",, 618713,"","",,2,"10.1117/12.662446","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746755388&doi=10.1117%2f12.662446&partnerID=40&md5=52456a03957c47cded79db4a181dab05","Any paraxial optical system which can be implemented using only thin lenses and propagation through free space or through sections of graded index (GRIN) media, belongs to the class of systems known as Quadratic Phase Systems (QPS). Given some input optical wave field, the output of any QPS can be described using the linear canonical transform (LCT), a unitary, additive, three-parameter class of linear integral transform first discovered in the 1970s1,2. The terminology used in relation to the LCT is not at all consistent across the literature, and it is frequently called by other names, such as Quadratic-phase Integral and Generalized Fresnel Transform. In this paper, we examine a new, more flexible numerical implementation of the FLCT. This algorithm is similar to the Sande-Tukey FFT algorithm, and is of general radix. We demonstrate the savings possible in terms of required samples with the flexibility inherent in a general radix algorithm.",Conference Paper,"Final",,Scopus,2-s2.0-33746755388
"Sheridan J.T., Wyrowski F.","7201682655;7006284540;","Introduction to photon management II",2006,"Proceedings of SPIE - The International Society for Optical Engineering","6187",,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746696685&partnerID=40&md5=06e9043b596e2434d7de1fbdd4463d0b",[No abstract available],Editorial,"Final",,Scopus,2-s2.0-33746696685
"Monaghan D.S., Gopinathan U., Kelly D.P., Naughton T.J., Sheridan J.T.","9246396700;12767349700;7403137561;7004850303;7201682655;","Numerical analysis of systematic errors in an optical encryption system",2006,"Proceedings of SPIE - The International Society for Optical Engineering","6187",, 61870X,"","",,,"10.1117/12.663063","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746663601&doi=10.1117%2f12.663063&partnerID=40&md5=08c725f6aa689e505215a7f96919a3d7","We consider a double random phase encoding Encryption/Decryption system in which the image encryption/decryption process is performed numerically. In this paper we look at the effect of quantisation in the decryption process due to the discrete values which a spatial light modulator can display. We look at the characterisation of a transmissive spatial light modulator and we present results from simulations of the system.",Conference Paper,"Final",,Scopus,2-s2.0-33746663601
"Close C.E., Gleeson M.R., Kelly J.V., O'Neill F.T., Mooney D., Sheridan J.T.","9246335300;7102850433;55462305100;35611429400;8839008500;7201682655;","Determination of diffusion rates in Acrylamide-based photopolymer material",2006,"Proceedings of SPIE - The International Society for Optical Engineering","6187",, 61871C,"","",,,"10.1117/12.663300","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746720194&doi=10.1117%2f12.663300&partnerID=40&md5=c9d87804ae4a4a3c3df30514223eab2b","Holographic data storage systems, utilising photopolymer material as the recording medium, have recently been presented. Because of their relatively low cost and ease of use, due to their self-processing nature, photopolymers provide many potential advantages as the holographic recording material and data storage medium of choice. Photopolymers show promise, for example, for Write-Once Read-Many (WORM) storage systems. The photopolymer recording medium used in this study is an Acrylamide/Polyvinylalcohol (A/PVA) based dry layer. An important material characteristic, which determines the performance of any photopolymer medium, is the spatial frequency response of that material. Previously, applying our Non-local Photo-Polymerisation Driven Diffusion Model, (NPDD), we have discussed the effects on material behaviour of the length of the polymer chains and the rates of diffusion within the material. These parameters have been shown to be critically important in determining the response of the material. If the average length of the Polyacrylamide (photopolymerised Acrylamide monomer, PA), chains is shortened, an increase in the diffusion coefficient of these molecules might be observed. According to the NPDD shorter PA chains should then result in an increase in the materials spatial frequency response, and ultimately in an increase in holographic data storage capacity. In this paper we report on several experiments carried out (a) to determine the diffusion constant of the PA and (b) to also determine the diffusion constants of both water and Propanol in our material layers.",Conference Paper,"Final",,Scopus,2-s2.0-33746720194
"Ward J.E., Kelly D.P., Patten R.F., Hennelly B.M., Liu Y., Sheridan J.T.","10139682700;7403137561;8114871500;6603022875;15136395600;7201682655;","Speckle based metrology systems and linear canonical transform photography in mixed domains",2006,"Proceedings of SPIE - The International Society for Optical Engineering","6187",, 61870W,"","",,1,"10.1117/12.663037","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746711679&doi=10.1117%2f12.663037&partnerID=40&md5=06cc1b799b5ec54f2381485b1517a74b","It has been shown that complex paraxial optical systems, consisting of various lens and distances of free space propagation, can be described using the Linear Canonical Transform (LCT)1. Indeed it can be shown that many well know optical transforms such as the Optical Fourier Transform (OFT)2 Optical Fractional Fourier Transform (OFRT)3-5, the effect of a lens or Chirp Modulation Transform (CMT) are all subsets of the more general LCT. Using the ABCD Collins matrix formula it is possible to represent these integral transforms in a simpler form1, which facilitates system analysis and design. Speckle Photography (SP) in combination with an optical LCT can be used to measure surface motion of an optically rough body. It has previously been shown6, 7 that Optical FRT's (OFRT) can be used in speckle based metrology systems to vary the range and sensitivity of a metrology system and also to determine both, the magnitude and direction, of tilting (rotation) and translation motion simultaneously, provided that the motion is captured in two separate OFRT domains. In this paper we extend the OFRT analysis to more general LCT systems and demonstrate how simultaneous tilt and translation measurements can be discerned from the speckle images captured prior to, and after motion. A spherical wavefront can be conveniently described using the Collin's matrix notation. By changing the wavefront of the illuminating light we show that we effectively change the domain of the LCT system without changing the bulk elements in the optical system. Thus the complete motion (in-plane translation and small surface tilting) of a rigid body can be determined using one optical LCT system and illuminating fields of varying curvature.",Conference Paper,"Final",,Scopus,2-s2.0-33746711679
"Liu Y., O'Neill F.T., Ryle J.P., Gopinathan U., Carr A.J., Sheridan J.T.","15136395600;35611429400;14056979400;12767349700;57196505194;7201682655;","E-Field control of optical properties of liquid micro-optical elements",2006,"Proceedings of SPIE - The International Society for Optical Engineering","6187",, 618711,"","",,1,"10.1117/12.662116","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746703299&doi=10.1117%2f12.662116&partnerID=40&md5=c9d68ff15f07d1094480898bb9e0ef74","Micro-optical elements and related technologies are becoming increasingly important in a number of areas. There are many different methods of fabricating these micro-optical elements. One such technique to produce microlenses is the UV-curable resin method. This method involves the application of droplets of UV-curable resin to a substrate, which can then be cured using UV light. The quality of the lenses produced using this method can vary due to a number of experimental difficulties. These include the fact that the UV resin shrinks as it is cured. This shrinkage effect is a difficult problem, as it is a property of the UV material and the substrate. The ability to pre-shape the liquid droplet may enable the manufacturer to compensate for this shrinkage. In this paper we propose a method to generate a controlled perturbation of the liquid profile and hence the optical properties of the final lens. We describe our method of inducing variations in the droplet profile using an applied electric field. This method enables the fabrication of aspheric lenses. The analysis of this fabrication method requires the development of an accurate lens profile measurement system. A number of techniques can be used to examine the resulting lens elements including mechanical techniques such as Dektak profilometry and optical techniques such as interferometric techniques including laser profiler and white light profiler. In this paper we give the details of the modified Mach-Zehnder interferometric measurement system used, discuss the optical properties of the lens and show a demonstration of the perturbation of the lens profile.",Conference Paper,"Final",,Scopus,2-s2.0-33746703299
"Kelly J.V., Gleeson M.R., Close C.E., O'Neill F.T., Sheridan J.T., Gallego S., Neipp C.","55462305100;7102850433;9246335300;35611429400;7201682655;7006130498;7003591770;","Analysis of the temporal effects on grating evolution in photopolymer",2006,"Proceedings of SPIE - The International Society for Optical Engineering","6187",, 618704,"","",,,"10.1117/12.663444","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746688604&doi=10.1117%2f12.663444&partnerID=40&md5=7356214d9cd68d7b50fff1f8252fc338","The nonlocal polymerization driven diffusion model is used to describe holographic grating formation in acrylamide-based photopolymer. The free radical chain polymerization process results in polymer being generated nonlocal both in space and time to the point of chain initiation. A Gaussian spatial material response function and an exponential temporal material response function are used to account for these effects. In this paper we firstly examine the nature of the temporal evolution of grating formation for short recording periods. It is shown that in this case, temporal effects become most notable and the inclusion of the nonlocal temporal response function is shown to be necessary to accurately describe the process. In particular, brief post exposure self-amplification of the refractive index modulation is noted. This is attributed to continued chain growth for a brief period after exposure. Following this a slight decay in the grating amplitude also occurs. This we believe is due to the continued diffusion of monomer after exposure. Since the sinusoidal recording pattern generates a monomer concentration gradient during the recording process monomer diffusion occurs both during and after exposure. The evolution of the refractive index modulation is determined by the respective refractive index values of the recording material components. From independent measurements it is noted that the refractive index value of the monomer is slightly less than that of the background material. Therefore as monomer diffuses back into the dark regions, a reduction in overall refractive index modulation occurs. Volume changes occurring within the material also affect the nature of grating evolution. To model these effects we employ a free volume concept. Due to the fact that the covalent single carbon bond in the polymer is up to 50% shorter than the van der Waals bond in the liquid monomer state, free volume is created when monomer is converted to polymer. For each bond conversion we assume a hole is generated which then collapses at some characteristic rate constant. Incorporating each of these effects into our model, the model is then solved using a Finite-Difference Time-Domain method (FDTD). The Lorentz-Lorenz relation is used to determine the overall evolution refractive index modulation and the corresponding diffraction efficiency of the resulting grating is calculated using Rigorous Coupled Wave Analysis (RCWA). Fits are then carried out to experimental data for 1 second exposures. Good quality fits are achieved and material parameters extracted. Monomer diffusion rates are determined to be of the order of D ∼ 10-10 cm 2/s and the time constant of the nonlocal material temporal response function being of the order of τn ∼ 10-2s. Material shrinkage occurring over these recording periods is also determined.",Conference Paper,"Final",,Scopus,2-s2.0-33746688604
"Gallego S., Ortuno M.F., Neipp C., Marquez A., Beléndez A., Fernández E., Kelly J.V., Sheridan J.T.","7006130498;7005310152;7003591770;35571345700;7005361571;57193216345;55462305100;7201682655;","3-Dimensional analysis of holographic memories based on photopolymers using finite differences method",2006,"Proceedings of SPIE - The International Society for Optical Engineering","6187",, 618714,"","",,,"10.1117/12.662481","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746761683&doi=10.1117%2f12.662481&partnerID=40&md5=de4ee80947d7b0e79faa68d9006c6ca0","The characterization of the behavior of photopolymers is an important fact in order to control the holographic memories based on photopolymers. In recent years many 2-dimensional models have been proposed for the analysis of photopolymers. These models suppose that the photopolymer layer is homogeneous in depth and good agreement between theoretical simulations and experimental results has been obtained for layers thinner than 200 μm. The attenuation of the light inside the material by Beer's law is an important factor when higher thickness are considered. In this work we use a Finite-Difference method to solve the 3 dimensional problem. Now diffusion in depth direction and the attenuation of the light inside the material by Beer's law are also considered, the influence of the diffusivity of material in the attenuation of the refractive index profile in depth is analyzed.",Conference Paper,"Final",,Scopus,2-s2.0-33746761683
"Gopinathan U., Naughton T.J., Sheridan J.T.","12767349700;7004850303;7201682655;","Polarization encoding and multiplexing of two-dimensional signals: Application to image encryption",2006,"Applied Optics","45","22",,"5693","5700",,41,"10.1364/AO.45.005693","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749825200&doi=10.1364%2fAO.45.005693&partnerID=40&md5=8b9af079a28c27f48c2d4e9baca5ec5d","We discuss an optical system that encodes an input signal to a polarization state, using a spatial light modulator (SLM Using two SLMs the optical system multiplexes two 2D signals in the polarization domain, and we demonstrate the multiplexing of two binary images. The encryption and decryption of two binary images using an XOR operation is also presented. © 2006 Optical Society of America.",Article,"Final",,Scopus,2-s2.0-33749825200
"Kelly D.P., Hennelly B.M., Rhodes William T. W.T., Sheridan J.T.","7403137561;6603022875;15077118000;7201682655;","Analytical and numerical analysis of linear optical systems",2006,"Optical Engineering","45","8", 088201,"","",,41,"10.1117/1.2345070","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33751436194&doi=10.1117%2f1.2345070&partnerID=40&md5=dfc36af83720bd0fc9dbf40ddb1b54c2","The numerical calculation of the Fresnel transform (FST) presents significant challenges due to the high sampling rate associated with the chirp function in the kernel. The development of an efficient algorithm is further complicated by the fact that the output extent of the FST is dependent on the propagation distance. In this paper, we implement a recently proposed technique for efficiently calculating the FST in which we apply the Wigner distribution function and the space bandwidth product to identify suitable sampling rates. This method is shown to be suitable for all propagation distances. Our method can also be applied to describe the effect of a thin lens modeled as a chirp modulation transform (CMT). Combining our results for the FST and the CMT, we numerically calculate the light distribution at the output of both Cai-Wang and Lohmann Type-I optical fractional Fourier transform (OFRT) systems. Analytic solutions for the OFRT of rectangular window and circular apertures are presented. The analytical solutions are compared to experimental data and to numerical results for equivalent cases. Finally the numerical method is applied to examine the effect that apertured lenses, in the OFRT system, have on the output distribution. © 2006 Society of Photo-Optical Instrumentation Engineers.",Article,"Final",,Scopus,2-s2.0-33751436194
"Kelly D.P., Sheridan J.T., Rhodes W.T.","7403137561;7201682655;7103051718;","Finite-aperture effects for Fourier transform systems with convergent illumination. Part I: 2-D system analysis",2006,"Optics Communications","263","2",,"171","179",,10,"10.1016/j.optcom.2006.01.047","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745359942&doi=10.1016%2fj.optcom.2006.01.047&partnerID=40&md5=3dddf6cbb63824ba5588e9fd859b2e81","The Optical Fourier Transform (OFT) is one of the most fundamental operations in analogue Optical Signal Processing (OSP). There are many optical arrangements for implementing the OFT, however one which is particularly popular is the Scaled Optical Fourier Transform (SOFT) because it offers the user the ability to scale the output Fourier distribution. In this paper we study some of the practical limits introduced by using a converging spherical lens of finite aperture to produce the illuminating field in the implementation of the SOFT. By deriving simple rules of thumb, based on examining phase and intensity deviations from the ideal unapertured case, we define an area inside the geometric shadow, which we refer to as a sub-geometric shadow. Inside this sub-geometric shadow we show that the worst-case errors in the resulting SOFT, arising due to diffraction, can be quantified and avoided. © 2006 Elsevier B.V. All rights reserved.",Article,"Final",,Scopus,2-s2.0-33745359942
"Kelly D.P., Hennelly B.M., Sheridan J.T., Rhodes W.T.","7403137561;6603022875;7201682655;7103051718;","Finite-aperture effects for Fourier transform systems with convergent illumination. Part II: 3-D system analysis",2006,"Optics Communications","263","2",,"180","188",,10,"10.1016/j.optcom.2006.01.046","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745336979&doi=10.1016%2fj.optcom.2006.01.046&partnerID=40&md5=9bca3ed1256534122ffdf52d976a8660","One of the most important optical signal processing operations is the optical Fourier transform (OFT). Of the arrangements for implementation of the OFT, perhaps the most flexible is that for the scaled optical Fourier transform (SOFT), as it allows control over the scale of the output Fourier transform distribution. By means of an analysis in cylindrical coordinates, we examine some of the practical limits introduced by the use of a thin lens of finite aperture in the implementation of the SOFT. Using simple rules of thumb that are based on an examination of the phase and magnitude deviations from the ideal (infinite-lens) diameter case, we define a volume inside the geometric shadow, which we refer to as a sub-geometric shadow. We then show that inside this sub-geometric shadow errors introduced by diffraction can be quantified. © 2006 Elsevier B.V. All rights reserved.",Article,"Final",,Scopus,2-s2.0-33745336979
"Neipp C., Sheridan J.T., Márquez A., Gallego S., Ortuño M., Beléndez A., Pascual I.","7003591770;7201682655;35571345700;7006130498;7005310152;7005361571;35569655800;","Effect of the glass substrate on the efficiency of the different orders that propagate in a transmission sinusoidal diffraction grating",2006,"Journal of Modern Optics","53","10",,"1403","1410",,1,"10.1080/09500340600551895","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33744975251&doi=10.1080%2f09500340600551895&partnerID=40&md5=ee4f24d3154866bac5c6a1cbb3825d97","In this work we study the effect of the glass substrate on the efficiencies of the different orders that propagate inside a transmission sinusoidal diffraction grating. Holographic optical elements are usually recorded on a photosensitive medium deposited on to a glass substrate. Therefore, the study of the entire system, namely the holographic element plus the glass substrate, is necessary. In this work we study the entire system by using the rigorous coupled-wave theory. As will be demonstrated, the effect of the glass is to generate an oscillatory pattern of the efficiency of the different orders around the average. The effect of the glass substrate is therefore sufficiently significant, and care must be taken in order to choose the appropriate thickness of the glass if maximum diffraction efficiency is to be achieved.",Article,"Final",,Scopus,2-s2.0-33744975251
"Kelly J.V., Gleeson M.R., Close C.E., O'Neill F.T., Sheridan J.T., Gallego S., Neipp C.","55462305100;7102850433;9246335300;35611429400;7201682655;7006130498;7003591770;","Temporal response and first order volume changes during grating formation in photopolymers",2006,"Journal of Applied Physics","99","11", 113105,"","",,33,"10.1063/1.2200400","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745230443&doi=10.1063%2f1.2200400&partnerID=40&md5=ba8ebc1c07790e44879238d786db8d36","We examine the evolution of the refractive index modulation when recording gratings in an acrylamide based photopolymer. A nonlocal diffusion model is used to predict theoretically the grating evolution. The model has been developed to account for both nonlocal spatial and temporal effects in the medium, which can be attributed to polymer chain growth. Previously it was assumed that the temporal effect of chain growth could be neglected. However, temporal effects due to chain growth and monomer diffusion are shown to be significant, particularly over short recording periods where dark field amplification is observed. The diffusion model is solved using a finite-difference technique to predict the evolution of the monomer and polymer concentrations throughout grating recording. Using independently measured refractive index values for each component of the recording medium, the Lorentz-Lorenz relation is used to determine the corresponding refractive index modulation. The corresponding diffraction efficiency is then determined using rigorous coupled wave analysis. The diffraction efficiency curves are presented for gratings recorded using short exposure times, monitored in real time, both during and after recording. The effect of volume shrinkage of polymer on grating evolution is also examined. Both the nonlocal temporal response of the material and monomer diffusion are shown to influence refractive index modulation postexposure. © 2006 American Institute of Physics.",Article,"Final",,Scopus,2-s2.0-33745230443
